"Tindex","Aindex","Sindex","TAindex","TSindex","ASindex","R"
3,17,2,65,6,34,-0.0112725329635614
3,18,1,66,5,35,0.0137928564715572
3,18,2,66,6,36,-0.0137928564715572
3,19,1,67,5,37,0.0111344648808279
3,19,2,67,6,38,-0.0111344648808279
3,20,1,68,5,39,-0.00322483213843201
3,20,2,68,6,40,0.00322483213843201
3,21,1,69,5,41,-0.0135448079303989
3,21,2,69,6,42,0.0135448079303989
3,22,1,70,5,43,-0.0167087561141396
3,22,2,70,6,44,0.0167087561141396
3,23,1,71,5,45,-0.0183936036133921
3,23,2,71,6,46,0.0183936036133921
3,24,1,72,5,47,0.197951953143726
3,24,2,72,6,48,-0.197951953143726
4,1,1,73,7,1,-0.0226210272663893
4,1,2,73,8,2,0.0226210272663893
4,2,1,74,7,3,-0.0338350096241316
4,2,2,74,8,4,0.0338350096241316
4,3,1,75,7,5,0.00958358924562674
4,3,2,75,8,6,-0.00958358924562674
4,4,1,76,7,7,0.0157496746907958
4,4,2,76,8,8,-0.0157496746907958
4,5,1,77,7,9,-0.0111982649670925
4,5,2,77,8,10,0.0111982649670925
4,6,1,78,7,11,0.00263086834730847
4,6,2,78,8,12,-0.00263086834730847
4,7,1,79,7,13,-0.0285722162556194
4,7,2,79,8,14,0.0285722162556194
4,8,1,80,7,15,-0.0300048982982829
4,8,2,80,8,16,0.0300048982982829
4,9,1,81,7,17,-0.00956223730951464
4,9,2,81,8,18,0.00956223730951464
4,10,1,82,7,19,0.0170193019098609
4,10,2,82,8,20,-0.0170193019098609
4,11,1,83,7,21,0.0215111724053831
4,11,2,83,8,22,-0.0215111724053831
4,12,1,84,7,23,-0.0146360516494255
4,12,2,84,8,24,0.0146360516494255
4,13,1,85,7,25,-0.0218468407328292
4,13,2,85,8,26,0.0218468407328292
4,14,1,86,7,27,-0.00911072201370515
4,14,2,86,8,28,0.00911072201370515
4,15,1,87,7,29,0.006703153482245
4,15,2,87,8,30,-0.006703153482245
4,16,1,88,7,31,0.0120774932970646
4,16,2,88,8,32,-0.0120774932970646
4,17,1,89,7,33,0.0161405873175036
4,17,2,89,8,34,-0.0161405873175036
4,18,1,90,7,35,0.0153211480061181
4,18,2,90,8,36,-0.0153211480061181
4,19,1,91,7,37,0.0104151551323576
4,19,2,91,8,38,-0.0104151551323576
4,20,1,92,7,39,0.000200916633601625
4,20,2,92,8,40,-0.000200916633601625
4,21,1,93,7,41,-0.00966319242243699
4,21,2,93,8,42,0.00966319242243699
4,22,1,94,7,43,-0.00497823154472815
4,22,2,94,8,44,0.00497823154472815
4,23,1,95,7,45,-0.111624954743294
4,23,2,95,8,46,0.111624954743294
4,24,1,96,7,47,0.180300586359584
4,24,2,96,8,48,-0.180300586359584
5,1,1,97,9,1,-0.0107099738809214
5,1,2,97,10,2,0.0107099738809215
5,2,1,98,9,3,-0.0079760260708566
5,2,2,98,10,4,0.0079760260708566
5,3,1,99,9,5,-0.014256480712819
5,3,2,99,10,6,0.014256480712819
5,4,1,100,9,7,0.00296387675268579
5,4,2,100,10,8,-0.00296387675268579
5,5,1,101,9,9,-0.0300925027402889
5,5,2,101,10,10,0.0300925027402889
5,6,1,102,9,11,-0.0258201995211999
5,6,2,102,10,12,0.0258201995211999
5,7,1,103,9,13,-0.030967781131884
5,7,2,103,10,14,0.030967781131884
5,8,1,104,9,15,-0.0197970966142796
5,8,2,104,10,16,0.0197970966142796
5,9,1,105,9,17,-0.0106989416322757
5,9,2,105,10,18,0.0106989416322757
5,10,1,106,9,19,0.0121021599719444
